dat,ssid,val
2E:51:A4:28:26:F3,XFINITY,20
3E:51:A4:28:26:F3,--,20
1E:51:A4:28:26:F3,--,20
0E:51:A4:28:26:F3,xfinitywifi,20
D2:03:4B:65:D2:AA,Bern_uest,19
2C:95:69:44:21:13,--,19
D0:03:4B:65:D2:AA,Dragonfly,17
FC:51:A4:28:26:F3,home7,17
0C:54:A5:75:AF:40,HOME-C26B-2.4,15
1A:54:A5:75:AF:40,--,12
22:54:A5:75:AF:40,--,12
scan_25,--,1653525238
60:38:E0:0E:EC:B7,ponderous_5GHz,92
60:38:E0:0E:EC:B6,ponderous,79
CA:3A:6B:1F:ED:6A,--,77
10:93:97:37:2A:10,ATTvcdAF5S75
06:93:97:37:2A:13,ATTvcdAF5S57
10:93:97:37:2A:13,--,57
CA:3A:6B:22:30:2A,--,49
2C:95:69:44:21:10,ATTvX66m7i,37
4A:4B:D4:75:22:6E,--,25
48:4B:D4:74:22:6B,WiFi_House,24
4A:4B:D4:75:22:6C,--,22
2E:51:A4:28:26:F3,XFINITY,20
3E:51:A4:28:26:F3,--,20
1E:51:A4:28:26:F3,--,20
0E:51:A4:28:26:F3,xfinitywifi,20
D2:03:4B:65:D2:AA,Bern_uest,19
2C:95:69:44:21:13,--,19
D0:03:4B:65:D2:AA,Dragonfly,17
FC:51:A4:28:26:F3,home7,17
0C:54:A5:75:AF:40,HOME-C26B-2.4,15
1A:54:A5:75:AF:40,--,12
22:54:A5:75:AF:40,--,12
scan_26,--,1653525253
60:38:E0:0E:EC:B6,ponderous,95
60:38:E0:0E:EC:B7,ponderous_5GHz,92
CA:3A:6B:1F:ED:6A,--,79
10:93:97:37:2A:10,ATTvcdAF5S74
06:93:97:37:2A:13,ATTvcdAF5S55
10:93:97:37:2A:13,--,55
CA:3A:6B:22:30:2A,--,47
2C:95:69:44:21:10,ATTvX66m7i,34
3E:51:A4:28:26:F3,--,22
1E:51:A4:28:26:F3,--,20
E4:F4:C6:EF:CE:9B,ATTWsvFCI2_EXT,19
D0:03:4B:65:D2:AA,Dragonfly,19
2C:95:69:44:21:13,--,19
FC:51:A4:28:26:F3,home7,19
0E:51:A4:28:26:F3,xfinitywifi,19
2E:51:A4:28:26:F3,XFINITY,17
0C:54:A5:75:AF:40,HOME-C26B-2.4,15
22:54:A5:75:AF:40,--,12
scan_27,--,1653525260
60:38:E0:0E:EC:B6,ponderous,97
60:38:E0:0E:EC:B7,ponderous_5GHz,92
10:93:97:37:2A:10,ATTvcdAF5S80
CA:3A:6B:1F:ED:6A,--,77
06:93:97:37:2A:13,ATTvcdAF5S55
10:93:97:37:2A:13,--,55
D0:4D:2C:86:A2:27,--,49
CA:3A:6B:22:30:2A,--,47
2C:95:69:44:21:10,ATTvX66m7i,29
48:4B:D4:74:22:6B,WiFi_House,24
4A:4B:D4:75:22:6C,--,24
4A:4B:D4:75:22:68,--,22
4A:4B:D4:75:22:6E,--,22
3E:51:A4:28:26:F3,--,22
1E:51:A4:28:26:F3,--,20
3E:51:A4:28:26:F2,--,19
E4:F4:C6:EF:CE:9B,ATTWsvFCI2_EXT,19
40:E1:E4:2B:85:84,ATTkxuWSxT,19
2C:95:69:44:21:13,--,19
FC:51:A4:28:26:F3,home7,19
0E:51:A4:28:26:F3,xfinitywifi,19
0C:54:A5:75:AF:40,HOME-C26B-2.4,17
2E:51:A4:28:26:F3,XFINITY,17
1E:51:A4:28:26:F2,--,15
22:54:A5:75:AF:40,--,15
D0:03:4B:65:D2:AA,Dragonfly,15
D2:03:4B:65:D2:AA,Bern_uest,15
C0:A0:0D:5F:63:60,ATTamz5bUI,12
scan_28,--,1653525265
60:38:E0:0E:EC:B7,ponderous_5GHz,92
10:93:97:37:2A:10,ATTvcdAF5S80
60:38:E0:0E:EC:B6,ponderous,78
CA:3A:6B:1F:ED:6A,--,77
06:93:97:37:2A:13,ATTvcdAF5S55
10:93:97:37:2A:13,--,55
D0:4D:2C:86:A2:27,--,49
CA:3A:6B:22:30:2A,--,47
2C:95:69:44:21:10,ATTvX66m7i,29
48:4B:D4:74:22:6B,WiFi_House,24
4A:4B:D4:75:22:6C,--,24
4A:4B:D4:75:22:68,--,22
4A:4B:D4:75:22:6E,--,22
3E:51:A4:28:26:F3,--,22
1E:51:A4:28:26:F3,--,20
3E:51:A4:28:26:F2,--,19
E4:F4:C6:EF:CE:9B,ATTWsvFCI2_EXT,19
40:E1:E4:2B:85:84,ATTkxuWSxT,19
2C:95:69:44:21:13,--,19
FC:51:A4:28:26:F3,home7,19
0E:51:A4:28:26:F3,xfinitywifi,19
0C:54:A5:75:AF:40,HOME-C26B-2.4,17
2E:51:A4:28:26:F3,XFINITY,17
1E:51:A4:28:26:F2,--,15
22:54:A5:75:AF:40,--,15
D0:03:4B:65:D2:AA,Dragonfly,15
D2:03:4B:65:D2:AA,Bern_uest,15
C0:A0:0D:5F:63:60,ATTamz5bUI,12
scan_29,--,1653525279
60:38:E0:0E:EC:B6,ponderous,99
60:38:E0:0E:EC:B7,ponderous_5GHz,92
CA:3A:6B:1F:ED:6A,--,77
10:93:97:37:2A:10,ATTvcdAF5S72
06:93:97:37:2A:13,ATTvcdAF5S55
10:93:97:37:2A:13,--,55
D0:4D:2C:86:A2:27,--,49
CA:3A:6B:22:30:2A,--,44
2C:95:69:44:21:10,ATTvX66m7i,29
48:4B:D4:74:22:6B,WiFi_House,24
4A:4B:D4:75:22:6C,--,24
E4:F4:C6:EF:CE:9B,ATTWsvFCI2_EXT,22
4A:4B:D4:75:22:68,--,22
4A:4B:D4:75:22:6E,--,22
3E:51:A4:28:26:F2,--,19
40:E1:E4:2B:85:84,ATTkxuWSxT,19
2C:95:69:44:21:13,--,19
FC:51:A4:28:26:F3,home7,19
